MOF,"(x,y)"
str_m1_o10_o18_pcu_sym.166,"(0, 0.20024977528374482)"
str_m1_o10_o18_pcu_sym.166,"(1, 0.18576815821199033)"
str_m1_o10_o18_pcu_sym.166,"(2, 0.17033308063615993)"
str_m1_o10_o18_pcu_sym.166,"(3, 0.15396177273554432)"
str_m1_o10_o18_pcu_sym.166,"(4, 0.1366882408872071)"
str_m1_o10_o18_pcu_sym.166,"(5, 0.11856455730593637)"
str_m1_o10_o18_pcu_sym.166,"(6, 0.09966157314612806)"
str_m1_o10_o18_pcu_sym.166,"(7, 0.08006891249647075)"
str_m1_o10_o18_pcu_sym.166,"(8, 0.05989413708474098)"
str_m1_o10_o18_pcu_sym.166,"(9, 0.03926102215106503)"
str_m1_o10_o18_pcu_sym.166,"(10, 0.018306949895382202)"
str_m1_o10_o18_pcu_sym.166,"(11, -0.002820497948533368)"
str_m1_o10_o18_pcu_sym.166,"(12, -0.023967591269731026)"
str_m1_o10_o18_pcu_sym.166,"(13, -0.044978923454539244)"
str_m1_o10_o18_pcu_sym.166,"(14, -0.06570203459712633)"
str_m1_o10_o18_pcu_sym.166,"(15, -0.08599189723758882)"
str_m1_o10_o18_pcu_sym.166,"(16, -0.10571498681086285)"
str_m1_o10_o18_pcu_sym.166,"(17, -0.12475269908231441)"
str_m1_o10_o18_pcu_sym.166,"(18, -0.14300394014219114)"
str_m1_o10_o18_pcu_sym.166,"(19, -0.16038679177402396)"
str_m1_o10_o18_pcu_sym.166,"(20, -0.1768392354706609)"
str_m1_o10_o18_pcu_sym.166,"(21, -0.1923189918894839)"
str_m1_o10_o18_pcu_sym.166,"(22, -0.20680259123585712)"
str_m1_o10_o18_pcu_sym.166,"(23, -0.22028382934299776)"
str_m1_o10_o18_pcu_sym.166,"(24, -0.2327717829543509)"
str_m1_o10_o18_pcu_sym.166,"(25, -0.24428855776004543)"
str_m1_o10_o18_pcu_sym.166,"(26, -0.2548669279737884)"
str_m1_o10_o18_pcu_sym.166,"(27, -0.26454800150275776)"
str_m1_o10_o18_pcu_sym.166,"(28, -0.273379014908499)"
str_m1_o10_o18_pcu_sym.166,"(29, -0.28141133154950404)"
str_m1_o10_o18_pcu_sym.166,"(30, -0.28869868765351603)"
str_m1_o10_o18_pcu_sym.166,"(31, -0.29529570656579995)"
str_m1_o10_o18_pcu_sym.166,"(32, -0.3012566820032928)"
str_m1_o10_o18_pcu_sym.166,"(33, -0.30663461694802285)"
str_m1_o10_o18_pcu_sym.166,"(34, -0.31148049541642386)"
str_m1_o10_o18_pcu_sym.166,"(35, -0.3158427590079147)"
str_m1_o10_o18_pcu_sym.166,"(36, -0.31976695800458843)"
str_m1_o10_o18_pcu_sym.166,"(37, -0.3232955470121166)"
str_m1_o10_o18_pcu_sym.166,"(38, -0.3264677969399524)"
str_m1_o10_o18_pcu_sym.166,"(39, -0.3293197978888668)"
str_m1_o10_o18_pcu_sym.166,"(40, -0.33188453076006186)"
str_m1_o10_o18_pcu_sym.166,"(41, -0.33419198877000356)"
str_m1_o10_o18_pcu_sym.166,"(42, -0.3362693333101032)"
str_m1_o10_o18_pcu_sym.166,"(43, -0.33814107158318596)"
str_m1_o10_o18_pcu_sym.166,"(44, -0.33982924610098086)"
str_m1_o10_o18_pcu_sym.166,"(45, -0.3413536284095091)"
str_m1_o10_o18_pcu_sym.166,"(46, -0.3427319113261248)"
str_m1_o10_o18_pcu_sym.166,"(47, -0.3439798955473247)"
str_m1_o10_o18_pcu_sym.166,"(48, -0.3451116677557544)"
str_m1_o10_o18_pcu_sym.166,"(49, -0.34613976835818305)"
str_m1_o10_o18_pcu_sym.166,"(50, -0.3470753477641306)"
str_m1_o10_o18_pcu_sym.166,"(51, -0.34792831070554825)"
str_m1_o10_o18_pcu_sym.166,"(52, -0.34870744853603775)"
str_m1_o10_o18_pcu_sym.166,"(53, -0.3494205597637623)"
str_m1_o10_o18_pcu_sym.166,"(54, -0.3500745592912107)"
str_m1_o10_o18_pcu_sym.166,"(55, -0.3506755769788482)"
str_m1_o10_o18_pcu_sym.166,"(56, -0.35122904623611323)"
str_m1_o10_o18_pcu_sym.166,"(57, -0.3517397833864604)"
str_m1_o10_o18_pcu_sym.166,"(58, -0.3522120585646845)"
str_m1_o10_o18_pcu_sym.166,"(59, -0.3526496588934944)"
str_m1_o10_o18_pcu_sym.166,"(60, -0.35305594465932283)"
str_m1_o10_o18_pcu_sym.166,"(61, -0.35343389916993573)"
str_m1_o10_o18_pcu_sym.166,"(62, -0.35378617293269304)"
str_m1_o10_o18_pcu_sym.166,"(63, -0.35411512274526347)"
str_m1_o10_o18_pcu_sym.166,"(64, -0.35442284624248316)"
str_m1_o10_o18_pcu_sym.166,"(65, -0.3547112123954002)"
str_m1_o10_o18_pcu_sym.166,"(66, -0.35498188841250244)"
str_m1_o10_o18_pcu_sym.166,"(67, -0.3552363634493606)"
str_m1_o10_o18_pcu_sym.166,"(68, -0.3554759694919162)"
str_m1_o10_o18_pcu_sym.166,"(69, -0.35570189974061295)"
str_m1_o10_o18_pcu_sym.166,"(70, -0.355915224787603)"
str_m1_o10_o18_pcu_sym.166,"(71, -0.35611690684734637)"
str_m1_o10_o18_pcu_sym.166,"(72, -0.35630781227195096)"
str_m1_o10_o18_pcu_sym.166,"(73, -0.35648872255645025)"
str_m1_o10_o18_pcu_sym.166,"(74, -0.3566603440156816)"
str_m1_o10_o18_pcu_sym.166,"(75, -0.35682331629335884)"
str_m1_o10_o18_pcu_sym.166,"(76, -0.3569782198451019)"
str_m1_o10_o18_pcu_sym.166,"(77, -0.35712558252041077)"
str_m1_o10_o18_pcu_sym.166,"(78, -0.357265885353665)"
str_m1_o10_o18_pcu_sym.166,"(79, -0.35739956766100905)"
str_m1_o10_o18_pcu_sym.166,"(80, -0.3575270315282705)"
str_m1_o10_o18_pcu_sym.166,"(81, -0.3576486457647181)"
str_m1_o10_o18_pcu_sym.166,"(82, -0.3577647493883249)"
str_m1_o10_o18_pcu_sym.166,"(83, -0.35787565470015975)"
str_m1_o10_o18_pcu_sym.166,"(84, -0.3579816499984225)"
str_m1_o10_o18_pcu_sym.166,"(85, -0.3580830019764243)"
str_m1_o10_o18_pcu_sym.166,"(86, -0.3581799578433082)"
str_m1_o10_o18_pcu_sym.166,"(87, -0.35827274720151076)"
str_m1_o10_o18_pcu_sym.166,"(88, -0.35836158371072535)"
str_m1_o10_o18_pcu_sym.166,"(89, -0.35844666656443414)"
str_m1_o10_o18_pcu_sym.166,"(90, -0.3585281818018215)"
str_m1_o10_o18_pcu_sym.166,"(91, -0.3586063034750378)"
str_m1_o10_o18_pcu_sym.166,"(92, -0.35868119468929527)"
str_m1_o10_o18_pcu_sym.166,"(93, -0.35875300853109093)"
str_m1_o10_o18_pcu_sym.166,"(94, -0.35882188889795147)"
str_m1_o10_o18_pcu_sym.166,"(95, -0.3588879712414188)"
str_m1_o10_o18_pcu_sym.166,"(96, -0.3589513832335407)"
str_m1_o10_o18_pcu_sym.166,"(97, -0.3590122453658559)"
str_m1_o10_o18_pcu_sym.166,"(98, -0.3590706714887406)"
str_m1_o10_o18_pcu_sym.166,"(99, -0.3591267692980209)"
str_m2_o1_o1_pcu_sym.13,"(0, 0.12776841043104334)"
str_m2_o1_o1_pcu_sym.13,"(1, 0.11607220306076585)"
str_m2_o1_o1_pcu_sym.13,"(2, 0.10395150279729623)"
str_m2_o1_o1_pcu_sym.13,"(3, 0.09142539596124347)"
str_m2_o1_o1_pcu_sym.13,"(4, 0.07851830930014936)"
str_m2_o1_o1_pcu_sym.13,"(5, 0.06526005641905591)"
str_m2_o1_o1_pcu_sym.13,"(6, 0.051685744823881635)"
str_m2_o1_o1_pcu_sym.13,"(7, 0.03783553304109616)"
str_m2_o1_o1_pcu_sym.13,"(8, 0.02375423369325616)"
str_m2_o1_o1_pcu_sym.13,"(9, 0.009490765780557603)"
str_m2_o1_o1_pcu_sym.13,"(10, -0.004902532744231386)"
str_m2_o1_o1_pcu_sym.13,"(11, -0.019370713302210574)"
str_m2_o1_o1_pcu_sym.13,"(12, -0.033857120138244906)"
