MOF,"(x,y)"
gen-mof-1,"(0, 0.08997118927432514)"
gen-mof-1,"(1, 0.07064828725500749)"
gen-mof-1,"(2, 0.05092397925380998)"
gen-mof-1,"(3, 0.03091898782809588)"
gen-mof-1,"(4, 0.01076073851783646)"
gen-mof-1,"(5, -0.00941990661901232)"
gen-mof-1,"(6, -0.029492086086046004)"
gen-mof-1,"(7, -0.049328355150684844)"
gen-mof-1,"(8, -0.06880789299886735)"
gen-mof-1,"(9, -0.08781933359100147)"
gen-mof-1,"(10, -0.1062630883948478)"
gen-mof-1,"(11, -0.1240530741626184)"
gen-mof-1,"(12, -0.14111780762980158)"
gen-mof-1,"(13, -0.15740087572524153)"
gen-mof-1,"(14, -0.17286082988912188)"
gen-mof-1,"(15, -0.18747058326554994)"
gen-mof-1,"(16, -0.2012164084985865)"
gen-mof-1,"(17, -0.21409664185301605)"
gen-mof-1,"(18, -0.22612019786594453)"
gen-mof-1,"(19, -0.23730498991033)"
gen-mof-1,"(20, -0.24767633837624717)"
gen-mof-1,"(21, -0.2572654319898513)"
gen-mof-1,"(22, -0.2661078910619361)"
gen-mof-1,"(23, -0.2742424656619693)"
gen-mof-1,"(24, -0.28170988781281125)"
gen-mof-1,"(25, -0.28855188530317555)"
gen-mof-1,"(26, -0.2948103557634071)"
gen-mof-1,"(27, -0.3005266931310109)"
gen-mof-1,"(28, -0.305741254270015)"
gen-mof-1,"(29, -0.31049295094646423)"
gen-mof-1,"(30, -0.31481895122380954)"
gen-mof-1,"(31, -0.31875447426847453)"
gen-mof-1,"(32, -0.32233266323148324)"
gen-mof-1,"(33, -0.3255845220337442)"
gen-mof-1,"(34, -0.3285389033220861)"
gen-mof-1,"(35, -0.3312225364231488)"
gen-mof-1,"(36, -0.3336600856897982)"
gen-mof-1,"(37, -0.33587423113344717)"
gen-mof-1,"(38, -0.3378857646179609)"
gen-mof-1,"(39, -0.3397136961308821)"
gen-mof-1,"(40, -0.34137536573547966)"
gen-mof-1,"(41, -0.34288655774341925)"
gen-mof-1,"(42, -0.3442616144405511)"
gen-mof-1,"(43, -0.34551354735947165)"
gen-mof-1,"(44, -0.3466541446362596)"
gen-mof-1,"(45, -0.3476940734299337)"
gen-mof-1,"(46, -0.34864297673614836)"
gen-mof-1,"(47, -0.34950956420500356)"
gen-mof-1,"(48, -0.35030169678885664)"
gen-mof-1,"(49, -0.35102646521057956)"
gen-mof-1,"(50, -0.3516902623652636)"
gen-mof-1,"(51, -0.35229884985703586)"
gen-mof-1,"(52, -0.3528574189342488)"
gen-mof-1,"(53, -0.3533706461265731)"
gen-mof-1,"(54, -0.353842743911151)"
gen-mof-1,"(55, -0.35427750674585395)"
gen-mof-1,"(56, -0.3546783528089306)"
gen-mof-1,"(57, -0.3550483617784897)"
gen-mof-1,"(58, -0.35539030897429524)"
gen-mof-1,"(59, -0.3557066961698878)"
gen-mof-1,"(60, -0.35599977936628396)"
gen-mof-1,"(61, -0.35627159380042533)"
gen-mof-1,"(62, -0.35652397644284795)"
gen-mof-1,"(63, -0.3567585862202999)"
gen-mof-1,"(64, -0.3569769221806074)"
gen-mof-1,"(65, -0.3571803397992922)"
gen-mof-1,"(66, -0.357370065610458)"
gen-mof-1,"(67, -0.3575472103284044)"
gen-mof-1,"(68, -0.3577127806113905)"
gen-mof-1,"(69, -0.35786768960496085)"
gen-mof-1,"(70, -0.35801276638928126)"
gen-mof-1,"(71, -0.3581487644429931)"
gen-mof-1,"(72, -0.35827636922512346)"
gen-mof-1,"(73, -0.3583962049665827)"
gen-mof-1,"(74, -0.35850884075362865)"
gen-mof-1,"(75, -0.35861479597737983)"
gen-mof-1,"(76, -0.3587145452159214)"
gen-mof-1,"(77, -0.3588085226087256)"
gen-mof-1,"(78, -0.35889712577694377)"
gen-mof-1,"(79, -0.35898071933756315)"
gen-mof-1,"(80, -0.35905963805441365)"
gen-mof-1,"(81, -0.35913418966449634)"
gen-mof-1,"(82, -0.35920465741405183)"
gen-mof-1,"(83, -0.35927130233515125)"
gen-mof-1,"(84, -0.35933436529032)"
gen-mof-1,"(85, -0.3593940688097847)"
gen-mof-1,"(86, -0.35945061874330364)"
gen-mof-1,"(87, -0.359504205746202)"
gen-mof-1,"(88, -0.3595550066171246)"
gen-mof-1,"(89, -0.35960318550314935)"
gen-mof-1,"(90, -0.3596488949862182)"
gen-mof-1,"(91, -0.35969227706335166)"
gen-mof-1,"(92, -0.3597334640317634)"
gen-mof-1,"(93, -0.35977257928880796)"
gen-mof-1,"(94, -0.35980973805561633)"
gen-mof-1,"(95, -0.3598450480323312)"
gen-mof-1,"(96, -0.3598786099919994)"
gen-mof-1,"(97, -0.3599105183194217)"
gen-mof-1,"(98, -0.3599408615005911)"
gen-mof-1,"(99, -0.35996972256773796)"
