MOF,Ground_State_Energy
str_m1_o10_o18_pcu_sym.166.cif,-1.4422205101813539
str_m2_o10_o11_pcu_sym.170.cif,-1.4422205101804817
str_m2_o10_o12_pcu_sym.29.cif,-1.4422205101017098
str_m2_o10_o13_pcu_sym.1.cif,-1.4422205101855803
str_m2_o10_o13_pcu_sym.103.cif,-1.442220510183481
str_m2_o10_o13_pcu_sym.108.cif,-1.4422205101855239
str_m2_o10_o13_pcu_sym.109.cif,-1.4422205101777807
str_m2_o10_o13_pcu_sym.118.cif,-1.4422205101853147
str_m2_o10_o13_pcu_sym.12.cif,-1.4422205101853889
str_m2_o10_o13_pcu_sym.126.cif,-1.442220510185592
str_m2_o10_o13_pcu_sym.130.cif,-1.4422205101627985
str_m2_o10_o13_pcu_sym.132.cif,-1.442220510151593
str_m2_o10_o13_pcu_sym.143.cif,-1.4422205100418997
str_m2_o10_o13_pcu_sym.152.cif,-1.4422205101061434
str_m2_o10_o13_pcu_sym.153.cif,-1.442220510185578
str_m2_o10_o13_pcu_sym.159.cif,-1.4422205101853134
str_m2_o10_o13_pcu_sym.160.cif,-1.4422205101850567
str_m2_o10_o13_pcu_sym.17.cif,-1.442220510185375
str_m2_o10_o13_pcu_sym.176.cif,-1.442220510185188
str_m2_o10_o13_pcu_sym.18.cif,-1.4422205101855319
str_m2_o10_o13_pcu_sym.186.cif,-1.4422205101851107
str_m2_o10_o13_pcu_sym.196.cif,-1.4422205099704577
str_m2_o10_o13_pcu_sym.208.cif,-1.4422205101680567
str_m2_o10_o13_pcu_sym.211.cif,-1.442220510185557
str_m2_o10_o13_pcu_sym.212.cif,-1.4422205101242107
str_m2_o10_o13_pcu_sym.27.cif,-1.4422205101853298
str_m2_o10_o13_pcu_sym.54.cif,-1.4422205101061283
str_m2_o10_o13_pcu_sym.56.cif,-1.4422205101854013
str_m2_o10_o13_pcu_sym.67.cif,-1.4422205101848617
str_m2_o10_o13_pcu_sym.68.cif,-1.4422205100487697
str_m2_o10_o13_pcu_sym.79.cif,-1.44222051017115
str_m2_o10_o14_pcu_sym.11.cif,-1.4422205101852255
str_m2_o10_o14_pcu_sym.111.cif,-1.4422205101689474
str_m2_o10_o14_pcu_sym.114.cif,-1.4422205101855958
str_m2_o10_o14_pcu_sym.131.cif,-1.442220510167703
str_m2_o10_o14_pcu_sym.135.cif,-1.4422205101846544
str_m2_o10_o14_pcu_sym.137.cif,-1.4422205101268961
str_m2_o10_o14_pcu_sym.138.cif,-1.4422205101386525
str_m2_o10_o14_pcu_sym.142.cif,-1.442220510185295
str_m2_o10_o14_pcu_sym.146.cif,-1.4422205101854926
str_m2_o10_o14_pcu_sym.154.cif,-1.4422205101428967
str_m2_o10_o14_pcu_sym.155.cif,-1.4422205101855863
str_m2_o10_o14_pcu_sym.156.cif,-1.4422205101855874
str_m2_o10_o14_pcu_sym.161.cif,-1.44222051018311
str_m2_o10_o14_pcu_sym.163.cif,-1.442220510183623
str_m2_o10_o14_pcu_sym.166.cif,-1.4422205101839307
str_m2_o10_o14_pcu_sym.169.cif,-1.4422205101131758
str_m2_o10_o14_pcu_sym.177.cif,-1.4422205101855927
str_m2_o10_o14_pcu_sym.182.cif,-1.442220510185376
str_m2_o10_o14_pcu_sym.187.cif,-1.4422205101854826
str_m2_o10_o14_pcu_sym.19.cif,-1.4422205101710188
str_m2_o10_o14_pcu_sym.192.cif,-1.4422205100000824
str_m2_o10_o14_pcu_sym.22.cif,-1.442220510184184
str_m2_o10_o14_pcu_sym.27.cif,-1.4422205101032337
str_m2_o10_o14_pcu_sym.29.cif,-1.4422205101855616
str_m2_o10_o14_pcu_sym.3.cif,-1.4422205101822834
str_m2_o10_o14_pcu_sym.32.cif,-1.4422205101855823
str_m2_o10_o14_pcu_sym.39.cif,-1.4422205101711563
str_m2_o10_o14_pcu_sym.4.cif,-1.4422205101838403
str_m2_o10_o14_pcu_sym.46.cif,-1.4422205101675216
str_m2_o10_o14_pcu_sym.47.cif,-1.4422205101362942
str_m2_o10_o14_pcu_sym.53.cif,-1.442220510185345
str_m2_o10_o14_pcu_sym.6.cif,-1.4422205101855954
str_m2_o10_o14_pcu_sym.67.cif,-1.442220510165727
str_m2_o10_o14_pcu_sym.7.cif,-1.4422205101784185
str_m2_o10_o14_pcu_sym.8.cif,-1.4422205101854488
str_m2_o10_o14_pcu_sym.80.cif,-1.4422205101669285
str_m2_o10_o14_pcu_sym.82.cif,-1.4422205101855918
str_m2_o10_o14_pcu_sym.85.cif,-1.442220510184982
str_m2_o10_o14_pcu_sym.87.cif,-1.4422205101843124
str_m2_o10_o14_pcu_sym.88.cif,-1.4422205101855927
str_m2_o10_o14_pcu_sym.91.cif,-1.4422205101854946
str_m2_o10_o14_pcu_sym.95.cif,-1.4422205101746033
str_m2_o10_o14_pcu_sym.96.cif,-1.4422205101725287
str_m2_o10_o16_pcu_sym.1.cif,-1.4422205101801189
str_m2_o10_o16_pcu_sym.101.cif,-1.442220510132175
str_m2_o10_o16_pcu_sym.103.cif,-1.4422205101847734
str_m2_o10_o16_pcu_sym.104.cif,-1.4422205101351757
str_m2_o10_o16_pcu_sym.110.cif,-1.4422205100619436
str_m2_o10_o16_pcu_sym.111.cif,-1.442220509905872
str_m2_o10_o16_pcu_sym.114.cif,-1.442220510181003
str_m2_o10_o16_pcu_sym.116.cif,-1.442220510184638
str_m2_o10_o16_pcu_sym.121.cif,-1.442220510184807
str_m2_o10_o16_pcu_sym.123.cif,-1.4422205101698444
str_m2_o10_o16_pcu_sym.127.cif,-1.4422205101371246
str_m2_o10_o16_pcu_sym.128.cif,-1.4422205100844028
str_m2_o10_o16_pcu_sym.135.cif,-1.4422205101782688
str_m2_o10_o16_pcu_sym.136.cif,-1.442220510185551
str_m2_o10_o16_pcu_sym.138.cif,-1.4422205101740508
str_m2_o10_o16_pcu_sym.14.cif,-1.4422205101849408
str_m2_o10_o16_pcu_sym.143.cif,-1.4422205101784993
str_m2_o10_o16_pcu_sym.15.cif,-1.4422205101855554
str_m2_o10_o16_pcu_sym.150.cif,-1.4422205101193375
str_m2_o10_o16_pcu_sym.155.cif,-1.4422205101195904
str_m2_o10_o16_pcu_sym.159.cif,-1.4422205101852488
str_m2_o10_o16_pcu_sym.160.cif,-1.4422205101855856
str_m2_o10_o16_pcu_sym.161.cif,-1.4422205100979664
